city_id,city_name,state
1,Kolhapur,Maharashtra
2,Port Blair,Andaman & Nicobar Islands
3,Adilabad,Andhra Pradesh
4,Adoni,Andhra Pradesh
5,Amadalavalasa,Andhra Pradesh
6,Amalapuram,Andhra Pradesh
7,Anakapalle,Andhra Pradesh
8,Anantapur,Andhra Pradesh
9,Badepalle,Andhra Pradesh
10,Banganapalle,Andhra Pradesh
11,Bapatla,Andhra Pradesh
12,Bellampalle,Andhra Pradesh
13,Bethamcherla,Andhra Pradesh
14,Bhadrachalam,Andhra Pradesh
15,Bhainsa,Andhra Pradesh
16,Bheemunipatnam,Andhra Pradesh
17,Bhimavaram,Andhra Pradesh
18,Bhongir,Andhra Pradesh
19,Bobbili,Andhra Pradesh
20,Bodhan,Andhra Pradesh
21,Chilakaluripet,Andhra Pradesh
22,Chirala,Andhra Pradesh
23,Chittoor,Andhra Pradesh
24,Cuddapah,Andhra Pradesh
25,Devarakonda,Andhra Pradesh
26,Dharmavaram,Andhra Pradesh
27,Eluru,Andhra Pradesh
28,Farooqnagar,Andhra Pradesh
29,Gadwal,Andhra Pradesh
30,Gooty,Andhra Pradesh
31,Gudivada,Andhra Pradesh
32,Gudur,Andhra Pradesh
33,Guntakal,Andhra Pradesh
34,Guntur,Andhra Pradesh
35,Hanuman Junction,Andhra Pradesh
36,Hindupur,Andhra Pradesh
37,Hyderabad,Andhra Pradesh
38,Ichchapuram,Andhra Pradesh
39,Jaggaiahpet,Andhra Pradesh
40,Jagtial,Andhra Pradesh
41,Jammalamadugu,Andhra Pradesh
42,Jangaon,Andhra Pradesh
43,Kadapa,Andhra Pradesh
44,Kadiri,Andhra Pradesh
45,Kagaznagar,Andhra Pradesh
46,Kakinada,Andhra Pradesh
47,Kalyandurg,Andhra Pradesh
48,Kamareddy,Andhra Pradesh
49,Kandukur,Andhra Pradesh
50,Karimnagar,Andhra Pradesh
51,Kavali,Andhra Pradesh
52,Khammam,Andhra Pradesh
53,Koratla,Andhra Pradesh
54,Kothagudem,Andhra Pradesh
55,Kothapeta,Andhra Pradesh
56,Kovvur,Andhra Pradesh
57,Kurnool,Andhra Pradesh
58,Kyathampalle,Andhra Pradesh
59,Macherla,Andhra Pradesh
60,Machilipatnam,Andhra Pradesh
61,Madanapalle,Andhra Pradesh
62,Mahbubnagar,Andhra Pradesh
63,Mancherial,Andhra Pradesh
64,Mandamarri,Andhra Pradesh
65,Mandapeta,Andhra Pradesh
66,Manuguru,Andhra Pradesh
67,Markapur,Andhra Pradesh
68,Medak,Andhra Pradesh
69,Miryalaguda,Andhra Pradesh
70,Mogalthur,Andhra Pradesh
71,Nagari,Andhra Pradesh
72,Nagarkurnool,Andhra Pradesh
73,Nandyal,Andhra Pradesh
74,Narasapur,Andhra Pradesh
75,Narasaraopet,Andhra Pradesh
76,Narayanpet,Andhra Pradesh
77,Narsipatnam,Andhra Pradesh
78,Nellore,Andhra Pradesh
79,Nidadavole,Andhra Pradesh
80,Nirmal,Andhra Pradesh
81,Nizamabad,Andhra Pradesh
82,Nuzvid,Andhra Pradesh
83,Ongole,Andhra Pradesh
84,Palacole,Andhra Pradesh
85,Palasa Kasibugga,Andhra Pradesh
86,Palwancha,Andhra Pradesh
87,Parvathipuram,Andhra Pradesh
88,Pedana,Andhra Pradesh
89,Peddapuram,Andhra Pradesh
90,Pithapuram,Andhra Pradesh
91,Pondur,Andhra pradesh
92,Ponnur,Andhra Pradesh
93,Proddatur,Andhra Pradesh
94,Punganur,Andhra Pradesh
95,Puttur,Andhra Pradesh
96,Rajahmundry,Andhra Pradesh
97,Rajam,Andhra Pradesh
